id,text,category,priority
2615,High mast light tower tilting about to fall at Residency Area,Street Lights,High
2616,Speed breaker broken uneven causing discomfort at Scheme 54 Please resolve urgently.,Roads & Potholes,Medium
2617,Road divider collapsed blocking lanes at Nipania highway,Roads & Potholes,High
2618,Road repairs done poorly broken again within 4 days,Roads & Potholes,Medium
2619,Water supply completely stopped since 2 days in Sanyogitaganj,Water Issues,High
2620,Request to increase water supply timing at Musakhedi,Water Issues,Low
2621,Garbage piling up for 2 days no collection Nehru Nagar,Sanitation,Medium
2622,Street light not working since 2 days at Race Course Road Residents are suffering.,Street Lights,Medium
2623,5 street lights broken on main road Treasure Island Area,Street Lights,Medium
2624,Suggest no plastic zone declaration for Ring Road market This is causing great inconvenience.,Sanitation,Low
2625,Electricity bill very high despite less usage in Palasia Kindly look into this matter.,Electricity,Medium
2626,Street light not working since 3 days at Sukhliya,Street Lights,Medium
2627,Garbage not collected since 3 days in Old Palasia colony,Sanitation,Medium
2628,Underground pipeline leaking water gushing out at Rau,Water Issues,High
2629,Request rumble strips near Vijay Nagar school zone,Roads & Potholes,Low
2630,Pipeline leaking minor dripping near Annapurna Road chowk This is causing great inconvenience.,Water Issues,Medium
2631,Request additional power socket in Airport Road community hall,Electricity,Low
2632,Entire AB Road colony dark for 5 nights crime risk high Residents are suffering.,Street Lights,High
2633,Sewage entering residential area Kanadiya Road disease outbreak risk,Sanitation,High
2634,Suggest road beautification drive for Tilak Nagar main road Kindly look into this matter.,Roads & Potholes,Low
2635,Street lights dim not bright enough at Gandhi Nagar road,Street Lights,Medium
2636,Massive crater on main road vehicles damaged at Rajiv Gandhi Square Please resolve urgently.,Roads & Potholes,High
2637,Electric pole fallen blocking entire road at Shivaji Nagar Residents are suffering.,Electricity,High
2638,Toxic waste dumped illegally near Scheme 78 water body,Sanitation,High
2639,CCTV cameras not working due to power issue at Bhawarkua Kindly look into this matter.,Electricity,Medium
2640,Electricity bill very high despite less usage in Nehru Nagar,Electricity,Medium
2641,Open defecation near Nanda Nagar school health emergency This is causing great inconvenience.,Sanitation,High
2642,Underground pipeline leaking water gushing out at Ring Road Please resolve urgently.,Water Issues,High
2643,Garbage dump fire toxic smoke affecting Nipania residents Residents are suffering.,Sanitation,High
2644,Drainage water stagnating mosquito breeding at Geeta Bhawan Please take immediate action.,Sanitation,Medium
2645,Leaking water tap wasting water on Airport Road main road,Water Issues,Medium
2646,Water tanker delayed by 5 hours daily at Polo Ground Kindly look into this matter.,Water Issues,Medium
2647,Request new street light installation at Lasudia lane,Electricity,Low
2648,Stray wire sparking on road near Lasudia school danger Please resolve urgently.,Electricity,High
2649,Underground pipeline leaking water gushing out at Malharganj Residents are suffering.,Water Issues,High
2650,Loose wire hanging from pole at Agrawal Nagar needs fixing,Electricity,Medium
2651,Suggest footpath construction along Race Course Road road,Roads & Potholes,Low
2652,Request reflector posts on Race Course Road road curve,Roads & Potholes,Low
2653,Request road name sign board at Bypass Road crossing,Roads & Potholes,Low
2654,Dustbin overflowing garbage spilling on road at Marimata Chowk,Sanitation,Medium
2655,Road marking lines faded invisible at Malharganj junction This is causing great inconvenience.,Roads & Potholes,Medium
2656,Street light not working since 3 days at Geeta Bhawan Please resolve urgently.,Street Lights,Medium
2657,Water logging on road after rain at Residency Area for hours Residents are suffering.,Roads & Potholes,Medium
2658,Suggest monthly cleaning drive for Bhanwarkua ward,Sanitation,Low
2659,Electricity bill very high despite less usage in Marimata Chowk This has been ignored for long.,Electricity,Medium
2660,Suggest energy audit for Ring Road ward buildings This has been ignored for long.,Electricity,Low
2661,Sewage water mixed in drinking water Sukhliya disease risk,Water Issues,High
2662,No potable water available entire Race Course Road ward for 3 days,Water Issues,High
2663,Construction debris dumped illegally at Khajrana road Please resolve urgently.,Sanitation,Medium
2664,Drain blocked water stagnating mosquitoes breeding Sector 12 Please resolve urgently.,Sanitation,Medium
2665,Suggest no plastic zone declaration for Lasudia market This is causing great inconvenience.,Sanitation,Low
2666,Request cleaning of Geeta Bhawan park pond water body Kindly look into this matter.,Sanitation,Low
2667,Road cave in sinkhole formed at Musakhedi near main market Please resolve urgently.,Roads & Potholes,High
2668,Entire Bhawarkua colony dark for 1 nights crime risk high Please take immediate action.,Street Lights,High
2669,Suggest festive lighting plan for Bijalpur market area,Street Lights,Low
2670,Overhead tank dirty needs cleaning in Sukhliya colony This is causing great inconvenience.,Water Issues,Medium
2671,Chemical waste dumped in Sector 12 drain water contaminated,Sanitation,High
2672,Short circuit sparks from street light pole at Kanadiya Road Please take immediate action.,Street Lights,High
2673,Street light pole hit by vehicle sparking dangerously Vijay Nagar,Street Lights,High
2674,Power fluctuation damaging appliances in Sanyogitaganj homes This is causing great inconvenience.,Electricity,Medium
2675,Suggest dustbin at Pardesipura park entrance gate Please resolve urgently.,Sanitation,Low
2676,Request public toilet construction near Residency Area market,Sanitation,Low
2677,Footpath tiles broken uneven at Annapurna Road main road Kindly look into this matter.,Roads & Potholes,Medium
2678,Street light pole hit by vehicle sparking dangerously Regal Square Kindly look into this matter.,Street Lights,High
2679,Dead animals decomposing on road health hazard at Treasure Island Area This has been ignored for long.,Sanitation,High
2680,Suggest lights on AB Road walking track path,Street Lights,Low
2681,Suggest water audit for Rajendra Nagar ward reduce wastage,Water Issues,Low
2682,Road surface worn out needs resurfacing at Pardesipura Please take immediate action.,Roads & Potholes,Medium
2683,Suggest energy audit for AB Road ward buildings,Electricity,Low
2684,Flickering street light disturbing residents at Rajiv Gandhi Square This is causing great inconvenience.,Street Lights,Medium
2685,Contaminated dirty yellow water supply in Bypass Road area Please resolve urgently.,Water Issues,High
2686,Broken water main causing massive flooding near Juni Indore,Water Issues,High
2687,Sewage pipeline burst waste water flooding Polo Ground area,Sanitation,High
2688,Request new street light installation at Sanyogitaganj lane Kindly look into this matter.,Electricity,Low
2689,Old pipeline replacement request for Nehru Nagar lane Please take immediate action.,Water Issues,Low
2690,Request public toilet construction near Rajendra Nagar market,Sanitation,Low
2691,Water pressure very low only trickle coming in Shivaji Nagar This is causing great inconvenience.,Water Issues,Medium
2692,Street lights dim not bright enough at Ring Road road This is causing great inconvenience.,Street Lights,Medium
2693,Request rainwater harvesting system for Dewas Naka colony,Water Issues,Low
2694,High tension wire snapped fallen on road Sukhliya emergency,Electricity,High
2695,All street lights not working LIG Colony area completely dark,Street Lights,High
2696,Manhole overflow raw sewage on road at Vijay Nagar colony Residents are suffering.,Sanitation,High
2697,Sewage water mixed in drinking water Geeta Bhawan disease risk,Water Issues,High
2698,Request for new water connection at Tilak Nagar plot Please resolve urgently.,Water Issues,Low
2699,Traffic signal light not working properly at Residency Area Please take immediate action.,Roads & Potholes,Medium
2700,Request speed breaker installation near Kanadiya Road school,Roads & Potholes,Low
2701,Underground pipeline leaking water gushing out at South Tukoganj,Water Issues,High
2702,All street lights not working Rau area completely dark This is causing great inconvenience.,Street Lights,High
2703,Bridge railing broken dangerous for vehicles at Rau,Roads & Potholes,High
2704,Street lights dim not bright enough at Bypass Road road,Street Lights,Medium
2705,Sewage pipeline burst waste water flooding Marimata Chowk area Kindly look into this matter.,Sanitation,High
2706,Request dog shelter near Bengali Square for stray animals Please take immediate action.,Sanitation,Low
2707,Stray dogs menace near Bhanwarkua garbage dump biting people,Sanitation,Medium
2708,No potable water available entire Rau ward for 6 days Please resolve urgently.,Water Issues,High
2709,Open garbage burning smoke nuisance near Polo Ground Please resolve urgently.,Sanitation,Medium
2710,Open defecation near Agrawal Nagar school health emergency,Sanitation,High
2711,No potable water available entire Lasudia ward for 5 days,Water Issues,High
2712,Road surface worn out needs resurfacing at Gandhi Nagar,Roads & Potholes,Medium
2713,Request road widening for Sukhliya narrow lane,Roads & Potholes,Low
2714,Road repairs done poorly broken again within 1 days,Roads & Potholes,Medium
2715,Request dog shelter near AB Road for stray animals This has been ignored for long.,Sanitation,Low
2716,Request light timer adjustment for Bangali Chowk street lights Please take immediate action.,Street Lights,Low
2717,Street light on during day wasting electricity at Chandan Nagar This is causing great inconvenience.,Electricity,Medium
2718,Footpath tiles broken uneven at Chandan Nagar main road Residents are suffering.,Roads & Potholes,Medium
2719,Suggest additional water tap point near Race Course Road park Please resolve urgently.,Water Issues,Low
2720,High voltage wire touching tree branches at Treasure Island Area risk This is causing great inconvenience.,Electricity,High
2721,Large pothole caused serious accident injury at Pardesipura This has been ignored for long.,Roads & Potholes,High
2722,Suggest awareness campaign for Scheme 140 cleanliness This is causing great inconvenience.,Sanitation,Low
